run_id	metric	metric_value	memory_gb	runtime_s	status	description
v137	public_lb	0.941	-	-	keep	baseline 4-model ensemble (Perch+SED+NFNet+V2S R2)
v162	public_lb	0.941	-	-	keep	V137 + AudioMAE probes 5th @ 0.10 (identity)
v174	public_lb	0.941	-	-	keep	V137 + BioLingual probes 5th @ 0.10 (identity)
v182	public_lb	0.941	-	-	keep	V137 + Bird-MAE-Base probes 5th @ 0.10 (identity)
v179	public_lb	0.938	-	-	discard	V137 V2S R2→V137-pseudo retrain (recipe drift breaks calibration)
v181	public_lb	0.939	-	-	discard	V137 V2S R2→XC+V137-pseudo retrain
v183	public_lb	0.942	-	-	keep	*BREAK* V137 + STACKED 3-probe (BirdMAE+AudioMAE+BioLingual) avg @ 0.10
v184	public_lb	0.0000	-	-	crash	stacked probes @ 0.15 — Kaggle 9h timeout
v185	public_lb	0.942	-	-	keep	V183 + BirdAVES (4-probe stack) — no compound
v186	public_lb	0.941	-	-	discard	V137 + Bird-MAE FT classifier alone @ 0.10
v187	public_lb	pending	-	-	pending	V183 + Bird-MAE FT in stack (4-source mean)
v187	public_lb	0.0000	-	-	crash	V137 + 3probes + Bird-MAE FT averaged stack — Kaggle 9h timeout (4 ViT backbones too heavy)
v189	local_macroAUC	0.7255	-	-	keep	PCEN+KMeans+LR token MVT (predicted 0.55-0.70, observed 0.7255 — partial; mid-range AUC)
v190	local_macroAUC	0.8283	-	87	keep	MiMo encoder pre-RVQ embeddings probe — predicted 0.65-0.80, observed 0.8283 (signal=partial, above upper bound). Confirms MiMo encoder transfers to bird audio. Note: ≥ 0.80 threshold cleared but < 0.85 meaningful-difference threshold.
v191	public_lb	0.0000	-	-	crash	V183 stack at weight 0.09 — Kaggle re-run completed with empty score (timeout signature like V184/V187). No noise-floor signal.
v192	public_lb	parked	-	-	parked	V185 BirdAVES→WavJEPA. V4 fixed but Kaggle CPU = 7.6 s/chunk → 17.7h alone, won't fit 9h. Don't submit.
v193	public_lb	0.0000	-	-	crash	V192 stride-3 — also COMPLETE with empty score (4th consecutive timeout: V184/V187/V191/V193). Kaggle infra tightened.
v196	public_lb	0.0000	-	-	crash	V137 V2S = avg(V194_iter1, R2_fold1). LB COMPLETE empty score (5th consecutive timeout). 2× V2S forward passes too heavy for tightened Kaggle budget.
